words,GT
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DELIVERING VALUE & BEST PRACTICES MULTI-STAKEHOLDER ENGAGEMENT CHANNELS CDLs stakeholder-centric business approach positions us for long-term prosperity and solidifies our social license to operate.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DELIVERING VALUE & BEST PRACTICES Stakeholder Groups and their Significance to CDL Our Customers Delivering safe and high-quality products and services to our customers is our raison d'tre as customers are key to the generation of financial capital.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DELIVERING VALUE & BEST PRACTICES Stakeholder Groups and their Significance to CDL Our Investors and Analysts We strongly emphasise on corporate governance and ESG integration and continue to build investor trust and confidence through open dialogue with shareholders and the investment community.",0
"Developing Sustainable Communities DELIVERING VALUE & BEST PRACTICES TURNING RISKS TO OPPORTUNITIES FOR SUSTAINABILITY TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-2 The table below outlines our actions in addressing risks and opportunities related to CDLs top 17 material ESG issues identified.",0
They are mapped to 14 relevant UN SDGs and the four pillars of the TCFD framework.,1
Legend: TCFD Pillars G Governance; S Strategy; RM Risk Management; M&T Metrics & Targets CDL's Top Material ESG Issues 1.,0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-2 DELIVERING VALUE & BEST PRACTICES CDL's Top Material ESG Issues 2.",0
"Innovation Supporting SDGs: TCFD Pillars: S, RM 4.",0
"TCFD Pillars: S, RM CDL remains committed to delivering safe and high-quality products and services for our homebuyers and tenants.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-2 DELIVERING VALUE & BEST PRACTICES CDL's Top Material ESG Issues 7.",0
"Occupational Health, Safety and Well-being Supporting SDGs: TCFD Pillars: S, RM, M&T Risks and Opportunities Most activities at CDLs construction sites and managed buildings are carried out by our appointed contractors.",1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-2 DELIVERING VALUE & BEST PRACTICES CDL's Top Material ESG Issues 10.",0
"Ethical and Transparent Business Supporting SDGs: TCFD Pillars: G, RM Risks and Opportunities Bribery and corruption are amongst the highest risks for businesses that could lead to financial and reputational loss.",0
"Supporting SDGs: TCFD Pillars: G, S CDLs Responses and Achievements CDL benchmarks our practices with the voluntary SS ISO Anti-bribery Management Systems to minimise gaps.",0
"TCFD Pillars: S, RM A workforce that does not keep up with industry developments, knowledge and technological trends will have a negative impact on human capital, operational efficiency, and business continuity.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DELIVERING VALUE & BEST PRACTICES BEST PRACTICES AND ESG COMMITMENTS As a global company, CDL supports international industry best practices and ESG commitments to uphold strong corporate governance, conduct business with integrity and spearhead climate action in our operations and supply chain.",0
"O R T 2 0 2 2 3S GREEN BUILDING FRAMEWORK HIGH OPERATIONAL EFFICIENCY AND PRODUCTIVITY LOW-CARBON AND COST-EFFECTIVE BUILDINGS LIVEABLE AND HEALTHY ENVIRONMENT SUPER-LOW CARBON2 SMART SUSTAINABLE SBTi & NET ZERO TARGETS Leverage smart technologies and innovations to reduce buildings energy consumption Accelerate investment on building retrofits towards decarbonisation Step up BCA Green Mark SLE certification for existing assets and new developments Transition to 100% renewable energy Maximise the use of low-carbon materials to reduce embodied carbon over whole life cycle Track and monitor emissions reduction progress with validated science-based targets INTEGRATIVE & INTELLIGENT PLATFORMS Implement energy performance tools, systems and standards in alignment with global sustainability disclosure and reporting frameworks Integrate AI and big data analytics for active monitoring and controlling of lighting, air-conditioning, mechanical ventilation, cleaning and maintenance, security, EV charging, renewables, etc.",1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DRIVING INNOVATION & BUILDING PERFORMANCE DRIVING INNOVATION AND DIGITAL TRANSFORMATION Innovation has been a key driver in our decarbonisation journey and one of CDLs top-voted material ESG issues since 2017.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary Since 2010, CDL has been at the forefront of supporting the transformation of the local urban mobility scene by providing carpark lots with EV chargers.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DRIVING INNOVATION & BUILDING PERFORMANCE COLLABORATION WITH SERIS Since 2017, CDL has supported and partnered the Solar Energy Research Institute of Singapore (SERIS) to pilot two projects Building-Integrated Photovoltaics (BIPV) modules and bifacial BIPV art wall.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DRIVING INNOVATION & BUILDING PERFORMANCE INCUBATOR FOR SDGS In partnership with the United Nations Development Programme (UNDP), Singapore Centre for Social Enterprise (raiSE) and Social Collider, Incubator For SDGs at Republic Plaza was launched in 2019 to provide rent-free workspace and access to management experts for selected social enterprises and start-ups that are aligned with one or more UN SDGs.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DRIVING INNOVATION & BUILDING PERFORMANCE Photo Credit: Novenco Photo Credit: Schindler Electronically Commutative (EC) Fan to Improve Efficiency of Air Distribution An EC fan trial was completed at Level 15 of Republic Plaza in Q4 2021.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DRIVING INNOVATION & BUILDING PERFORMANCE UPLIFTING CUSTOMER EXPERIENCE THROUGH DIGITAL ENGAGEMENT CDL actively leverages technology to automate processes, standardise protocols and drive data-backed decision making.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-1 DRIVING INNOVATION & BUILDING PERFORMANCE Engaging Homebuyers in Living Green Since 2004, CDL has implemented the Lets Live Green!",0
"In 2018, we were the first real estate company in Singapore to set Science Based Targets initiative (SBTi)-validated targets based on a 2C warmer scenario.",1
Renewed SBTi-validated Carbon Emissions Intensity Reduction Targets 02 Reduce Scope 3 GHG emissions from purchased goods and services by 41% per m2 Gross Floor Area (GFA) by 2030 from a 2016 base year.,1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO Ambitious goals are effective drivers for action.",0
"In accordance with GHG Protocol, Scope 2 emissions are calculated using both location-based and market-based methods.",1
"The measurement applies to GHG calculations, with all other environmental performances reported using the net lettable area.",0
"Fuji Xerox Towers GHG emissions, energy, water and waste data are included up to 30 June 2021, as it ceased its operations for redevelopment thereafter.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO ENERGY REDUCTION STRATEGY AND PERFORMANCE Electricity constitutes a significant proportion of CDLs operational expenditure.",0
"Developing Sustainable Communities DECARBONISING TOWARDS NET ZERO TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-4 Total Energy Usage of CDLs Operations in Singapore and Six Key Subsidiaries (MWh) To align with our reporting scope for GHG emissions, CDL also reports on the energy data of our subsidiaries.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO Buildings by PUB for outstanding water conservation efforts.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO Water Efficiency and Reduction Performance Recognising that holistic water management enhances the long-term value of our assets and developments, we have continuously implemented water conservation initiatives and tracked our water performance since 2007.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO Total Water Usage of CDLs Core Operations in Singapore and Six Key Subsidiaries (m3) 500,765 514,207 493,028 387,035 343,430* 288,114 292,667 353,202 299,647 239,622 31,229 19,002 19,728 11,638 7,235 7,692 8,860 5,685 5,268 4,582,223 4,445,746 4,441,932 2,888,659 3,004,369 2017 2018 2019 CDL 2020 2021 2017 2018 2019 2020 2021 2017 2018 2019 2020 2021 2017 2018 2019 2020 2021 2017 2018 2019 2020 2021 CDLHT Le Grove# Tower Club M&C Notes: CBM and City Serviced Offices are not represented here as they are tenants within a building and do not have separate meters to track respective water usage within their facilities.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO We have established a target to ensure 100% of appointed suppliers14 are certified by recognised EHS standards by 2030.",0
"As part of our renewed SBTi-validated GHG reduction targets, CDL has committed to reduce the embodied carbon of our building materials by 41%, instead of their conventional equivalents, by 2030.",1
"We track the performance of these projects against the current interim target,17 and raise the next interim target where necessary to map our phased progress towards the 2030 SBTi-validated target of 41% reduction.",1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DECARBONISING TOWARDS NET ZERO Since 2016, CDL has been tracking and reporting the top five building materials and embodied carbon intensities of the construction materials used in our property development activities to determine the wider carbon lifecycle impact of our projects.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT CDLs corporate policies and ESG commitments have built a strong foundation for corporate governance.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT CORPORATE POLICIES AND GUIDELINES Board Oversight CDL corporate policies provide guiding principles on business conduct and ethics that all employees and stakeholders across our value chain should practise to support CDLs commitment to sustainability.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT Hazard Identification, Risk Assessment and Risk Control CDL conducts hazard identification, risk assessment and risk control exercises across our corporate office, and 100% of our managed buildings and construction sites, in line with ISO management system requirements and local legislation.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT We also actively engage our business partners on health and safety matters through risk reviews, covering the whole lifecycle starting from pre-construction to TOP attainment.",0
"Developing Sustainable Communities DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 3-1 As elaborated in our enhanced EHS policy in 2021, we will continue to work with contractors to ensure that dormitories and facilities are equipped with basic amenities and all necessary measures.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT CDL Diversity and Inclusion Task Force Racial and Disability Inclusion CDL recognises that creating and expanding opportunities for women are fundamental to CDLs sustainable growth and beneficial to society.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DETERMINED TO CREATE A FAIR, SAFE & INCLUSIVE BUSINESS ENVIRONMENT the year, these online workshops included project management, big data and data analytics, sustainability, occupational health and safety, mindfulness, and the cultivation of healthy lifestyles.",0
The first part of the series spotlighted environmental sustainability and delved into CDLs greenhouse gases (GHG) emissions and how these relate to our business operations.,0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Key Initiatives World Cities Summit 2021 Outcomes and Impact CDL presented two specially-curated panel sessions for World Cities Summit 2021 in June 2021.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Women Empowerment Key Initiatives Key Initiatives Outcomes and Impact Outcomes and Impact CELEBRATING WOMEN CHAMPIONS IN SUSTAINABILITY, 10 MARCH 2021 CDLs Virtual SSA and Women4Green Network celebrated International Womens Day and its theme #ChooseToChallenge with our first hybrid event since the start of COVID-19.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Youth Engagement and Development Key Initiatives Key Initiatives Outcomes and Impact TURNING ANXIETY INTO ACTION KEEP CALM AND LOVE OUR PLANET CAMPAIGN, NOVEMBER 2021 TO 2022 Outcomes and Impact A collaboration with Singapore Youth for Climate Action (SYCA), the Keep Calm and Love Our Planet campaign is a series of programmes and initiatives to rally youths from all over the world who attended COP26 to support our vision of Turning Climate Anxiety into Positive Action.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Key Initiatives Nurturing Future Sustainability Leaders via Education Outcomes and Impact To equip the next generation, CDL believes in actively sharing our business case for sustainability integration as inspiration to shape future sustainability leaders.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Community Education & Outreach Key Initiatives Key Initiatives Outcomes and Impact CHANGE THE PRESENT, SAVE THE FUTURE CLIMATE ACTION EXHIBITION, 15 JULY 2021 TO MARCH 2022 Outcomes and Impact In July 2021, in partnership with NParks, CDL launched Change the Present, Save the Future, an exhibition on building climate resilience through global collaboration.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary DEVELOPING SUSTAINABLE COMMUNITIES Key Initiatives Supporting Trees of the World, December 2021 Outcomes and Impact CDL celebrated the holiday season by sponsoring 10 trees at the Singapore Botanic Gardens Trees of the World 2021 display.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE CDLs pioneering and voluntary adoption of the TCFD recommendations since 2017 provides climate-related financial information for ESG investors to make informed investment decisions.",0
"As one of the pioneering adopters of TCFD reporting in Singapore, CDL is proud to push the envelope by being the first company in Singapore to secure external assurance for our TCFD disclosures.",1
TCFD Pillar Governance Recommended Disclosure Describe the boards oversight of climate-related risks and opportunities.,0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Strategy Recommended Disclosure Describe the climate-related risks and opportunities the organisation has identified over the short, medium, and long term.",0
"CDL was one of four pioneering Singapore companies to adopt TCFDs classification of climate-related risks and opportunities since 2017, which outlines both physical and transition risks.",1
The short term covered three horizons focused on reducing GHG emissions to limit warming and reducing exposure to carbon pricing; mitigating negative financial impacts and protecting our current assets from more frequent and severe extreme weather events; while adapting to changing regulatory requirements and market norms in a low-carbon economy.,0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Recommended Disclosure Describe the impact of climate-related risks and opportunities on the organisations businesses, strategy and financial planning.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Recommended Disclosure Describe the resilience of the organisations strategy, taking into consideration different climate-related scenarios, including a 2C or lower scenario.",0
"Through the early adoption of Climate Change Scenario Analysis based on the TCFD recommendations, we have gained greater insight into climate-related risks and their potential impact on our business and financial bottom line under a 2C and lower scenario.",0
"In 2018, we were the first real estate company in Singapore to set SBTi-validated targets based on a 2C warmer scenario.",1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Risk Management Recommended Disclosure Describe the organisations processes for identifying and assessing climate-related risks.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Recommended Disclosure Describe how processes for identifying, assessing and managing climate-related risks are integrated into the organisations overall risk management.",0
"Risk Management Report in CDL Annual Report 2021 To align with globally-recognised standards in carbon emissions measurement and reporting, CDL became the first developer in Singapore in 2016 to validate our Greenhouse Gas (GHG) emissions data against the stringent ISO -1 certification in GHG emissions reporting.",1
"Conducted at a reasonable assurance level, the verification covers stringent audits of processes on GHG emissions control and a review of emission factors used for diesel, petrol, refrigerant gases, electricity grid, transmission and distribution losses, employee commuting, and business air travel.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary TCFD DISCLOSURE TCFD Pillar Recommended Disclosure Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",1
"To ensure proper accounting of our GHG emissions, CDL scopes our emission streams in accordance with the GHG Protocol Corporate Accounting and Reporting Standard.",1
"Subsequently in 2018, we became the first real estate company in Singapore to have our carbon reduction targets validated by SBTi, raising our carbon emissions intensity reduction target from 38% to 59% across our Singapore operations by 2030 from base year 2007, aligned with a 2C warmer scenario.",1
The renewed targets aim to decarbonise CDLs operations in three ways: Reduce Scope 1 and 2 GHG emissions 63% per m2 leased area by 2030 from a 2016 base year.,1
"Compared to our 2018 SBTi target of reducing Scope 1 and 2 emissions by 59% by 2030 from base year 2007, the new baseline year of 2016 presents a more stringent and aspirational goal.",1
Reduce Scope 32 GHG emissions from purchased goods and services 41% per m2 Gross Floor Area (GFA) by 2030 from 2016.,1
"Decarbonising towards Net Zero, pg 58 2 SBTi requires companies Scope 3 targets to cover 66% of their Scope 3 emissions.",1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary CDSB DISCLOSURE Requirements REQ-01 Governance REQ-02 Managements environmental policies, strategy and targets REQ-03 Risks and opportunities REQ-04 Sources of environmental impacts REQ-05 Performance and comparative analysis REQ-06 Outlook The table below illustrates our alignment with the Climate Disclosure Standards Board (CDSB) Framework, which was adopted since 2020.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary SASB REAL ESTATE SECTOR DISCLOSURE CDL supports the Sustainability Accounting Standards Board (SASB) Standards by Value Reporting Foundation.",1
The tables below reference the Standard for Real Estate Sector as defined by SASBs Sustainability Industry Classification System and identifies how CDL has addressed the SASB Accounting Metrices and Activity Metrices for the scope of CDL-owned and managed operations in Singapore.,1
"The SASB disclosures have been independently assured by Ernst and Young (EY) and the reasonable assurance statement can be found in CDLs Integrated Sustainability Report 2022, pg 136 to 149.",0
"As a result of the completed analyses, the physical and transition risks, as well as the degree of each risk type, were assessed and classified into categories that are explicitly linked to financial impacts as provided by TCFD.",0
More details can be found in CDLs Integrated Sustainability Report 2022 under Decarbonising towards Net Zero and TCFD Disclosure.,0
"In line with our steadfast commitment to align CDLs environmental practices with international best practices, CDL became the first Singapore developer in 2016 to validate our GHG emissions data against ISO Greenhouse Gases for GHG verification.",1
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-3, 2-4 Accessibility This Report is only available in a digital version.",0
"Our carbon footprint is calculated in accordance with the GHG Protocol, developed by the World Resources Institute and the World Business Council on Sustainable Development.",1
The GHG Protocol supplies the worlds most widely used greenhouse gas accounting standards.,1
"In addition to the GHG Protocol, our carbon emissions are also calculated based on The CarbonNeutral Protocol, a set of guidelines to meet the global standard for managing our offset-inclusive programmes.",1
Our baseline year is 2007 and our emissions are independent of any GHG trades.,0
"LRQAs Assurance Statement on the GHG report prepared by CDL, can be found on pages 134 to 135.",0
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary KEY PERFORMANCE SUMMARY 2021 2020 2019 2018 2017 m3 m3 m3 m3 Unit of Measurement 15 3,929 3,031 17 4,220 1,345 17 4,425 3,796 tonnes tonnes tonnes tonnes tonnes tonnes 299,647 19,728 5,268 3,004,369 239,622 19,002 5,685 2,888,659 353,202 31,229 8,860 4,441,932 514,207 11,638 7,692 4,445,746 493,028-7,235 4,582,223 Indicator Subsidiaries7 CDLHT Le Grove8 Tower Club M&C III.",0
Scope 2 GHG emissions reflected from 2018 onwards are reported using a market-based method to account for the procured energy attribute certificates.,1
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 ISO REASONABLE ASSURANCE STATEMENT RELATING TO THE GHG REPORT PREPARED BY CITY DEVELOPMENTS LIMITED FOR CALENDAR YEAR 2021 Terms of Engagement This Assurance Statement has been prepared for City Developments Limited.",0
LRQA Limited (Singapore Branch) (LRQA) was commissioned by City Developments Limited (CDL) to assure its GHG Emissions Inventory declared in the GHG Report for the calendar year 2021 (hereafter referred to as the GHG report) for its Singapore Operations.,0
"The GHG Report relates to direct GHG emissions and energy indirect GHG emissions and other indirect GHG emissions arising from construction main contractors' activities (fuel used in power generators and heavy vehicles, purchased electricity, electricity upstream emissions and transmission losses and water usage) for property development operations, electricity upstream emissions, distribution and transmission losses, local and international courier services, employee commute, overseas business travel (excluding the influence of radiative forcing) and overseas hotel accommodations, water supply and water treatment for corporate office and asset management operations, summarised in Table 1 below.",1
Management Responsibility CDLs management was responsible for preparing the GHG Report and for maintaining effective internal controls over the data and information disclosed.,0
LRQAs responsibility was to carry out an assurance engagement on the GHG Report in accordance with our contract with CDL.,0
"LRQAs Approach Our verification has been conducted in accordance with ISO :2006, Specification with guidance for validation and verification of greenhouse gas assertions to provide reasonable assurance that GHG data as presented in the GHG Report have been prepared in conformance with ISO :2006, Specification with guidance at the organizational level for quantification and reporting of greenhouse gas emissions and removals.",0
